DL-model, r2, nse, lognse, kge, mpe_ve =  0 0.53 0.67 0.16 0.76 3.3
DL-model, r2, nse, lognse, kge, mpe_ve =  1 0.55 0.65 0.25 0.78 2
DL-model, r2, nse, lognse, kge, mpe_ve =  2 0.47 0.64 0.14 0.73 2.3
DL-model, r2, nse, lognse, kge, mpe_ve =  3 0.63 0.72 0.27 0.79 5.8
DL-model, r2, nse, lognse, kge, mpe_ve =  4 0.63 0.69 0.29 0.81 1.6
DL-model, r2, nse, lognse, kge, mpe_ve =  5 0.55 0.66 0.16 0.77 2.3
DL-model, r2, nse, lognse, kge, mpe_ve =  6 0.55 0.69 0.23 0.76 5.5
DL-model, r2, nse, lognse, kge, mpe_ve =  7 0.66 0.72 0.31 0.82 3.7
DL-model, r2, nse, lognse, kge, mpe_ve =  8 0.49 0.63 0.17 0.74 3
DL-model, r2, nse, lognse, kge, mpe_ve =  9 0.48 0.63 0.14 0.74 2.1
DL-model, r2, nse, lognse, kge, mpe_ve =  10 0.61 0.68 0.23 0.8 2.6
DL-model, r2, nse, lognse, kge, mpe_ve =  11 0.56 0.65 0.74 0.75 17
DL-model, r2, nse, lognse, kge, mpe_ve =  12 0.51 0.65 0.19 0.75 1.9
DL-model, r2, nse, lognse, kge, mpe_ve =  13 0.61 0.69 0.24 0.8 4.4
DL-model, r2, nse, lognse, kge, mpe_ve =  14 0.47 0.61 0.19 0.74 3.1
DL-model, r2, nse, lognse, kge, mpe_ve =  15 0.53 0.66 0.21 0.76 3.6
DL-model, r2, nse, lognse, kge, mpe_ve =  16 0.57 0.71 0.18 0.76 3.4
DL-model, r2, nse, lognse, kge, mpe_ve =  17 0.52 0.66 0.21 0.75 3.6
DL-model, r2, nse, lognse, kge, mpe_ve =  18 0.49 0.61 0.21 0.75 2.3
DL-model, r2, nse, lognse, kge, mpe_ve =  19 0.59 0.68 0.26 0.79 3.3
DL-model, r2, nse, lognse, kge, mpe_ve =  20 0.6 0.69 0.22 0.79 3.8
DL-model, r2, nse, lognse, kge, mpe_ve =  21 0.59 0.66 0.22 0.8 2.6
DL-model, r2, nse, lognse, kge, mpe_ve =  22 0.53 0.63 0.19 0.77 3.6
DL-model, r2, nse, lognse, kge, mpe_ve =  23 0.59 0.67 0.24 0.79 2.6
DL-model, r2, nse, lognse, kge, mpe_ve =  24 0.38 0.49 0.7 0.68 20
DL-model, r2, nse, lognse, kge, mpe_ve =  25 0.38 0.54 0.18 0.71 4.2
DL-model, r2, nse, lognse, kge, mpe_ve =  26 0.35 0.5 0.7 0.67 21
DL-model, r2, nse, lognse, kge, mpe_ve =  27 0.44 0.54 0.74 0.7 21
DL-model, r2, nse, lognse, kge, mpe_ve =  28 0.36 0.47 0.7 0.67 21
DL-model, r2, nse, lognse, kge, mpe_ve =  29 0.41 0.52 0.71 0.69 21
DL-model, r2, nse, lognse, kge, mpe_ve =  30 0.4 0.53 0.71 0.69 20
DL-model, r2, nse, lognse, kge, mpe_ve =  31 0.4 0.5 0.71 0.68 21
DL-model, r2, nse, lognse, kge, mpe_ve =  32 0.38 0.51 0.69 0.68 20
DL-model, r2, nse, lognse, kge, mpe_ve =  33 0.31 0.47 0.66 0.65 20
DL-model, r2, nse, lognse, kge, mpe_ve =  34 0.43 0.53 0.72 0.7 20
DL-model, r2, nse, lognse, kge, mpe_ve =  35 0.49 0.58 0.76 0.71 21
DL-model, r2, nse, lognse, kge, mpe_ve =  36 0.35 0.5 0.68 0.67 20
DL-model, r2, nse, lognse, kge, mpe_ve =  37 0.39 0.51 0.69 0.68 20
DL-model, r2, nse, lognse, kge, mpe_ve =  38 0.35 0.47 0.68 0.67 20
DL-model, r2, nse, lognse, kge, mpe_ve =  39 0.34 0.5 0.68 0.66 21
DL-model, r2, nse, lognse, kge, mpe_ve =  40 0.34 0.45 0.68 0.66 20
DL-model, r2, nse, lognse, kge, mpe_ve =  41 0.48 0.59 0.73 0.71 21
DL-model, r2, nse, lognse, kge, mpe_ve =  42 0.17 0.42 0.62 0.61 20
DL-model, r2, nse, lognse, kge, mpe_ve =  43 0.35 0.47 0.69 0.67 20
DL-model, r2, nse, lognse, kge, mpe_ve =  44 0.29 0.43 0.66 0.65 20
DL-model, r2, nse, lognse, kge, mpe_ve =  45 0.4 0.55 0.73 0.68 21
DL-model, r2, nse, lognse, kge, mpe_ve =  46 0.44 0.53 0.72 0.7 21
DL-model, r2, nse, lognse, kge, mpe_ve =  47 0.37 0.49 0.71 0.67 20
DL-model, r2, nse, lognse, kge, mpe_ve =  48 0.38 0.51 0.69 0.68 21
DL-model, r2, nse, lognse, kge, mpe_ve =  49 0.24 0.45 0.65 0.63 20
